"","ENTREZID","SYMBOL"
"704","636931","Trim71"
"705","627110","Tubb2a-ps2"
"706","15204","Herc2"
"707","97464","C85351"
"708","71141","4933407L21Rik"
"709","66506","Psmg3"
"710","22157","Tulp1"
"711","225994","Nmrk1"
"712","240880","Scyl3"
"713","20104","Rps6"
"714","192657","Ell2"
"715","207781","C2cd2"
"716","77250","9430019H13Rik"
"717","230770","Tmem39b"
"718","115489913","C630004L07Rik"
"719","66352","Blzf1"
"720","76566","Rflnb"
"721","320873","Cdh10"
"722","66724","Tab3"
"723","71310","Tbc1d9"
"724","77971","A930037O16Rik"
"725","432999","A930007A09Rik"
"726","13110","Cyp2j6"
"727","73914","Irak3"
"728","22439","Xk"
"729","16572","Kif5a"
"730","13640","Efna5"
"731","66279","Tmem218"
"732","237052","Tceal1"
"733","67547","Slc39a8"
"734","26369","Cetn1"
"735","22003","Tpm1"
"736","59040","Rhot1"
"737","69820","1810059H22Rik"
"738","12166","Bmpr1a"
"739","60367","Il1rapl2"
"740","74419","Tktl2"
"741","320411","A730089K16Rik"
"742","74269","1700063H04Rik"
"743","53611","Vti1a"
"744","24067","Srp54a"
"745","81018","Rnf114"
"746","76143","6230426I18Rik"
"747","71827","Lrrc34"
"748","68691","Kansl1l"
"749","66797","Cntnap2"
"750","75668","Rasl10a"
"751","18845","Plxna2"
"752","72735","Eldr"
"753","15365","Hmga2-ps1"
"754","214704","Iqub"
"755","319651","Usp37"
"756","18718","Pip4k2a"
"757","12448","Ccne2"
"758","14547","Gdap2"
"759","69416","Ms4a19"
"760","78783","Brpf1"
"761","216156","Wdr18"
"762","100042819","Gm4047"
"763","21952","Tnni1"
"764","102060","Gadd45gip1"
"765","27401","Skp2"
"766","15211","Hexa"
"767","66273","Aamdc"
"768","14712","Gnpat"
"769","268697","Ccnb1"
"770","72475","Ssbp3"
"771","14915","Guca2a"
"772","18647","Cdk14"
"773","546100","Gm5914"
"774","211305","Fbxw13"
"775","76968","Sprr5"
"776","56434","Tspan3"
"777","71900","Tmem106b"
"778","574405","Pwwp4b"
"779","76141","6230414M07Rik"
"780","16098","Igkv1-117"
